g_val	t_val	c_val	l_val	s_val
1.3386	1.4950	1.4305	1.8770	2.1157
0.9998	0.9542	0.9847	1.3524	1.5297
1.6894	1.5743	1.5039	1.4258	1.5730
0.7889	0.7173	0.8183	0.9935	1.1051
1.2097	1.0149	1.0442	1.3883	1.6501
1.9298	2.0278	1.7343	1.9272	2.0489
1.2321	0.9688	1.1468	1.2245	1.4710
1.5662	1.7076	1.4439	1.5535	1.7187
1.4838	1.4809	1.4201	1.7588	2.0196
1.3105	1.0759	1.1721	1.1979	1.3921
1.7703	1.8707	1.6527	1.6896	1.8108
1.7939	1.7410	1.6247	1.8680	2.1327
-0.5756	-0.9163	-0.5454	-1.1814	-1.1272
0.9514	0.8903	0.9581	0.9235	1.0592
0.7284	0.7289	0.7041	0.8603	0.9723
1.6686	1.3084	1.4371	1.3765	1.5177
0.8454	0.7764	0.9487	1.2942	1.4642
1.1632	0.9042	1.1198	1.2729	1.3190
1.2079	1.2517	1.2558	1.5758	1.7761
1.6092	1.3488	1.4035	1.2723	1.3612
1.5798	1.4204	1.4171	1.4089	1.4757
1.1695	1.3035	1.1536	1.2707	1.3591
1.8025	1.4502	1.5233	1.1911	1.3604
0.5862	0.6750	0.6200	1.0195	1.1277
1.1177	1.1939	1.1401	1.4139	1.4920
1.9335	1.7421	1.7272	1.6952	1.7989
0.1812	-0.0498	0.2452	0.5468	0.6611
1.1195	0.9342	1.0046	1.0586	1.1948
1.3498	1.3969	1.3328	1.2075	1.3201
1.7918	1.8519	1.6216	1.5223	1.5965
1.5915	1.5616	1.3974	1.3689	1.6117
1.5780	1.5313	1.4319	1.4402	1.5495
1.5913	1.4844	1.4129	1.2962	1.3741
1.5700	1.7069	1.5463	1.6344	1.7816
1.1745	1.0785	1.1333	1.2120	1.3051
0.6789	0.7311	0.7979	1.1114	1.2146
1.4597	1.6170	1.4921	1.6988	1.8576
1.7909	1.5314	1.4867	1.3022	1.3786
1.0659	1.0496	1.0351	1.2585	1.3734
1.2784	1.1695	1.2691	1.4526	1.5282
1.3573	1.2810	1.3132	1.4978	1.6310
0.7346	0.6202	0.6884	1.0615	1.3050
1.6810	1.4924	1.5061	1.5565	1.6961
1.3696	1.3056	1.1650	1.3863	1.4812
1.5254	1.4440	1.2925	1.4970	1.5896
0.7626	0.6728	0.8096	1.4029	1.6998
1.0963	1.0786	1.0980	1.2656	1.3027
0.3326	0.3864	0.5546	1.2589	1.5016
1.2525	1.2621	1.1031	1.3448	1.4848
1.1547	1.1598	1.1504	1.4380	1.5984
2.0338	2.1106	1.8286	1.8357	1.9721
0.8825	0.8954	0.8435	1.1823	1.3046
1.0741	0.9969	1.0356	1.3985	1.5315
0.7522	0.5979	0.6663	0.9246	1.1116
1.5970	1.5260	1.4213	1.6775	1.9617
0.8864	0.9011	0.9838	1.3036	1.4386
1.9253	1.7335	1.7277	1.5437	1.6228
1.2400	0.9782	1.1173	0.9920	1.1221
1.3246	1.3026	1.2952	1.4857	1.6679
0.8086	0.7134	0.7700	0.9775	1.0488
1.1269	0.8577	1.0612	1.1241	1.3035
