g	pw80_20	pw80_08	pw82_08	pw84_08	pw88_08
0.333	1.351	1.278	0.925	0.878	0.524
1.253	1.250	1.714	1.061	0.977	1.020
1.155	2.241	2.160	1.566	1.240	0.973
2.034	1.280	2.247	1.230	1.179	1.214
0.882	0.977	0.855	0.793	0.846	0.775
1.074	1.681	2.271	1.496	1.062	1.014
0.752	0.824	0.747	0.706	0.671	0.606
1.597	1.263	1.228	1.264	1.270	1.226
0.886	1.071	0.861	0.952	0.976	0.950
1.925	2.028	2.089	1.831	1.454	1.083
1.240	1.457	1.511	1.468	1.231	0.921
1.325	1.181	1.071	1.038	0.974	0.910
0.809	1.350	0.956	0.853	0.713	0.577
1.127	0.972	1.005	0.982	0.931	0.844
1.596	1.351	1.112	1.249	1.071	1.060
1.711	1.423	1.981	1.418	1.352	1.171
0.744	1.297	1.532	1.198	1.043	0.935
1.715	1.726	1.847	1.277	1.134	1.171
1.525	1.486	1.200	1.053	0.897	0.939
1.313	1.132	1.102	1.161	1.121	1.113
1.540	1.080	0.984	1.006	0.962	0.999
1.434	1.440	1.122	1.090	1.080	1.061
1.442	1.374	1.321	1.224	1.164	1.199
1.233	3.614	5.922	3.621	1.570	0.656
1.411	1.430	1.176	1.174	1.101	1.047
1.339	1.073	1.033	1.019	0.986	0.969
1.252	1.378	1.789	1.196	1.033	1.206
1.384	1.032	1.026	0.985	0.972	0.933
1.235	1.547	1.552	1.124	1.070	0.973
1.284	1.238	1.031	0.991	0.933	0.903
1.069	1.364	1.060	0.938	0.727	0.613
1.399	1.390	1.609	1.412	1.257	1.212
1.259	2.341	3.107	2.263	1.816	1.029
1.911	2.033	1.304	1.558	1.728	1.737
0.492	0.851	-0.198	0.308	0.589	0.659
0.681	0.908	0.887	0.811	0.700	0.633
-0.271	0.363	0.308	0.307	0.112	-0.044
1.596	1.258	1.015	1.122	1.069	1.064
0.516	0.773	0.217	0.732	0.895	0.546
1.221	1.178	0.998	0.903	0.829	0.823
1.345	1.097	1.140	1.173	1.104	1.048
1.044	1.338	1.378	1.176	1.047	0.934
1.731	1.301	1.723	1.221	1.124	1.006
1.884	1.373	1.371	1.221	1.153	1.191
0.616	0.907	0.765	0.819	0.771	0.671
0.946	1.203	1.205	0.920	0.788	0.739
1.514	1.499	1.513	1.536	1.232	1.372
1.130	2.304	2.225	1.692	1.134	0.809
1.166	2.472	2.952	2.186	1.653	1.183
1.342	1.005	1.085	1.073	1.058	1.033
1.788	1.516	1.349	1.249	1.185	1.171
1.401	1.031	1.035	0.999	0.927	0.951
1.628	1.957	1.676	1.527	1.240	1.403
1.176	1.378	1.333	1.195	0.944	0.866
1.592	1.251	1.133	1.154	1.125	1.103
2.057	1.372	1.321	1.198	1.102	1.152
0.989	0.874	0.929	0.913	0.850	0.643
1.075	1.181	1.254	1.089	1.019	0.839
1.436	1.212	1.028	0.992	0.987	0.908
1.462	1.213	1.031	1.030	0.994	1.025
1.309	2.873	3.184	2.197	1.554	0.869
1.288	1.280	1.824	1.144	0.835	0.969
1.504	1.203	1.160	1.104	1.053	1.054
1.825	1.145	1.360	1.146	1.057	0.984
0.350	0.289	0.213	0.605	0.633	0.581
1.546	0.970	0.932	0.951	0.962	1.006
1.150	1.150	1.102	0.956	0.945	0.912
0.913	3.220	5.312	3.403	1.758	1.466
1.583	1.089	1.069	1.077	1.026	1.023
1.403	1.216	1.184	1.164	1.072	0.854
1.742	1.356	1.457	1.420	1.271	1.202
1.347	0.895	0.862	0.856	0.832	0.812
1.170	1.251	1.164	1.115	0.999	0.865
1.983	1.573	1.516	1.471	1.390	1.424
1.494	1.175	1.585	1.336	1.166	0.943
1.206	2.964	3.760	2.039	1.273	1.094
1.357	1.451	1.841	1.094	0.963	1.018
1.152	0.985	1.124	1.071	0.829	0.536
0.704	1.629	2.267	1.681	1.255	0.291
1.417	1.168	1.130	1.127	1.085	1.074
0.650	0.861	0.972	0.584	0.532	0.358
1.162	1.144	1.443	1.399	1.241	1.243
0.819	1.017	0.727	0.674	0.620	0.584
1.448	1.064	1.082	1.048	1.028	0.985
1.262	0.893	0.966	0.926	0.867	0.852
1.692	1.056	1.170	1.092	1.040	1.051
1.861	2.074	1.887	1.502	1.183	1.056
1.490	1.063	1.004	0.999	0.963	0.947
1.601	1.510	1.532	1.485	1.352	1.350
0.703	0.841	0.620	0.662	0.647	0.550
1.362	1.462	1.159	0.950	0.897	0.858
1.195	1.129	1.057	1.042	1.007	0.998
1.642	1.360	3.237	2.471	1.659	0.971
1.713	1.263	1.407	1.347	1.244	1.186
1.067	1.105	0.930	0.983	0.925	0.942
1.538	2.803	1.038	1.634	2.140	1.079
1.233	1.083	0.823	0.963	0.897	0.831
1.230	1.053	1.961	1.024	0.944	0.922
1.001	3.206	5.223	3.607	1.947	1.612
1.388	1.382	1.436	1.113	1.087	1.067
1.463	1.183	1.013	1.003	0.969	0.979
0.410	0.825	0.877	0.817	0.700	0.478
1.534	2.147	1.556	1.719	1.469	1.535
1.089	1.356	1.133	1.039	0.979	0.891
1.460	1.252	1.141	1.143	1.026	0.997
1.640	1.281	1.276	1.272	1.209	1.230
1.191	3.773	6.911	4.805	2.623	1.668
1.338	1.223	1.248	1.133	0.983	0.849
1.378	1.522	1.399	1.317	1.265	1.194
0.966	1.075	0.646	0.744	0.597	0.485
1.375	1.170	0.996	1.038	0.954	0.923
1.073	2.019	0.946	1.010	1.355	1.070
0.763	1.242	1.237	1.062	0.982	1.029
1.125	1.797	1.491	1.348	1.128	1.090
1.867	2.440	1.862	1.215	1.235	1.100
1.490	1.831	1.473	1.274	0.971	0.929
0.991	1.865	1.373	1.266	0.919	0.753
1.175	1.065	0.959	0.976	0.909	0.821
1.385	1.492	1.124	1.248	1.000	0.842
1.081	1.628	1.360	1.122	0.917	0.843
1.330	1.274	1.139	1.133	0.991	0.848
1.462	1.000	0.990	1.008	0.998	0.975
0.904	0.968	1.450	0.846	0.834	0.865
1.724	1.443	1.319	1.272	1.179	1.145
1.220	2.099	1.645	1.438	1.037	1.058
1.337	2.734	4.063	2.760	2.049	1.302
1.208	1.451	1.158	1.034	1.082	1.078
1.339	1.372	1.485	1.388	1.258	1.204
1.278	3.637	6.557	4.372	2.276	1.693
1.357	1.282	1.703	1.333	0.988	0.792
1.444	1.932	1.996	1.736	1.409	1.042
1.754	2.307	2.057	1.568	1.143	1.156
0.777	0.881	0.815	0.812	0.762	0.733
