x	c_h	c_m	g_h	g_m	l_h	l_m	s_h	s_m	t_h	t_m
2.099	0.0002	0.0010	0.0634	0.2183	0.0253	0.0000	0.1799	0.0000	0.0458	0.3645
2.130	0.0000	0.0002	0.0383	0.1797	0.0159	0.0000	0.1719	0.0000	0.0365	0.2890
2.162	0.0000	0.0000	0.0204	0.1364	0.0092	0.0000	0.1483	0.0000	0.0287	0.2286
2.193	0.0000	0.0000	0.0094	0.0949	0.0046	0.0000	0.1140	0.0000	0.0230	0.1917
2.224	0.0000	0.0000	0.0037	0.0606	0.0020	0.0000	0.0783	0.0000	0.0195	0.1794
2.256	0.0000	0.0000	0.0012	0.0353	0.0007	0.0000	0.0485	0.0000	0.0168	0.1833
2.287	0.0000	0.0000	0.0004	0.0186	0.0002	0.0000	0.0275	0.0000	0.0136	0.1916
2.318	0.0000	0.0000	0.0001	0.0086	0.0001	0.0000	0.0143	0.0000	0.0097	0.1951
2.349	0.0000	0.0000	0.0000	0.0034	0.0000	0.0000	0.0068	0.0000	0.0058	0.1897
2.381	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0028	0.0000	0.0028	0.1738
2.412	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0010	0.0000	0.0012	0.1469
2.443	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0003	0.0000	0.0004	0.1113
2.475	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0001	0.0736
2.506	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0416
2.537	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0198
2.569	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0078
2.600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0026
