tag	g_val	t_val	c_val	l_val	s_val
1	1.007319	1.019291	0.972180	1.286154	1.423743
1	1.668216	1.552586	1.425846	1.238542	1.307689
1	0.789917	0.955385	0.934773	1.334365	1.587453
-1	1.860285	2.027623	1.630358	1.312817	1.309359
1	1.196496	1.217881	1.153794	1.329125	1.439376
-1	1.438458	1.717001	1.334488	0.933168	0.769942
1	1.116322	0.926998	0.950328	1.269170	1.389967
1	1.248379	1.215327	1.155750	1.329798	1.449358
-1	1.397941	1.548295	1.195174	1.101020	0.988081
1	1.477478	1.107176	1.314975	1.343262	1.496277
-1	1.359002	1.734231	1.358989	1.194097	1.178938
-1	1.146835	1.530681	1.055114	0.885194	0.568360
1	0.983940	0.991826	0.909929	0.865038	1.013806
-1	1.818739	1.924970	1.543801	1.504009	1.454564
1	1.351536	1.113607	1.224985	1.410640	1.721683
1	1.565429	1.679078	1.479787	1.809566	1.931681
-1	1.976479	2.085729	1.657702	1.219162	1.113150
1	1.412062	1.542033	1.411883	1.693679	1.784768
1	1.425551	1.510133	1.281255	1.252035	1.412738
-1	0.766472	1.103274	0.706088	1.081643	1.001041
1	0.930681	0.809980	0.951752	1.378073	1.684081
1	1.069493	1.082740	0.994177	1.501527	1.663895
1	1.795597	1.760401	1.596482	1.581187	1.661687
-1	1.981026	2.302936	1.671862	1.150177	0.973809
-1	1.356490	1.357314	1.126101	1.026469	0.914211
1	1.266357	1.021248	1.075126	1.181473	1.358357
-1	1.643451	1.826857	1.489378	1.068685	0.948391
1	1.186699	1.069113	1.023824	1.380183	1.569843
1	1.749101	1.517649	1.564739	1.462036	1.603511
1	0.579022	0.554228	0.776223	0.835241	0.824090
-1	2.157035	2.281124	1.781196	1.509439	1.508777
1	1.132847	1.405686	1.227576	1.313678	1.411255
-1	2.099397	2.407898	1.837223	1.549338	1.417141
1	1.183734	1.029921	1.109991	1.268473	1.465378
-1	1.346691	1.601569	1.156551	1.165621	0.999782
1	1.599325	1.258791	1.393206	1.238606	1.344377
-1	1.482595	1.657412	1.310683	1.206753	1.116424
1	0.804056	0.726039	0.753531	0.939280	1.067117
1	1.375767	1.131256	1.250281	1.209518	1.325619
1	0.766440	0.845622	0.928228	0.990097	0.952383
-1	1.211876	1.578084	1.185457	0.939670	0.624241
1	2.025265	2.098592	1.746036	1.896697	2.137914
-1	1.116416	1.215732	1.109726	0.875675	0.716484
-1	1.398498	1.468055	1.183996	1.081473	0.919695
-1	1.118996	1.362719	1.169185	1.015064	0.806648
1	1.819164	1.802524	1.597702	1.549576	1.745491
1	0.454959	0.345686	0.451952	1.130120	1.402994
-1	1.031050	1.115520	1.043633	0.977774	0.887918
1	1.913117	1.966139	1.751766	1.421423	1.590965
1	0.801471	0.745424	0.734577	1.126401	1.331918
-1	2.094188	2.358437	1.884953	1.290711	1.107307
-1	1.531447	1.790378	1.382729	1.077110	0.939056
1	0.989263	0.889118	0.988983	1.090215	1.182177
1	1.606486	1.732566	1.592360	1.876099	2.082399
1	1.163604	1.079997	1.068833	1.181181	1.242431
-1	1.747303	1.638275	1.424679	1.050219	0.946768
-1	1.122411	1.517158	1.200189	1.455403	1.300084
-1	1.297905	1.474091	1.169718	1.383416	1.367465
1	1.849149	1.626123	1.538603	1.474132	1.594730
-1	1.692605	1.887959	1.421550	1.383806	1.326655
1	0.834819	0.713143	0.871853	1.178227	1.262316
-1	0.904683	0.752313	0.819781	-1.096520	-1.332978
-1	1.564618	1.857805	1.366338	1.286493	1.217355
-1	1.271251	1.444612	1.082316	1.225630	1.155319
1	1.488771	1.383374	1.367437	1.391662	1.425335
1	0.857177	0.779451	0.933237	1.328048	1.441186
1	1.313290	1.222953	1.292676	1.141324	1.148691
-1	1.106158	1.187457	1.111964	0.987960	0.821299
1	1.338558	1.495012	1.430517	1.877023	2.115737
-1	1.234556	1.309833	1.076267	1.166610	1.214679
-1	1.104355	1.270047	0.950960	1.149238	1.087294
1	0.999771	0.954165	0.984659	1.352426	1.529675
1	1.689417	1.574254	1.503925	1.425783	1.573031
-1	1.940542	1.993596	1.623701	1.302176	1.186841
-1	1.289442	1.360738	1.134630	0.928861	0.783227
-1	1.446736	1.516691	1.263876	0.990052	0.855704
1	0.788885	0.717288	0.818315	0.993482	1.105106
-1	1.704848	1.723093	1.519211	1.245565	1.101639
1	1.209733	1.014933	1.044152	1.388322	1.650127
1	1.929794	2.027789	1.734287	1.927242	2.048871
1	1.232092	0.968839	1.146779	1.224544	1.471035
1	1.566178	1.707576	1.443910	1.553468	1.718747
1	1.483810	1.480910	1.420097	1.758842	2.019643
1	1.310522	1.075903	1.172074	1.197894	1.392120
-1	1.478496	1.596248	1.326081	1.067194	0.934489
1	1.770288	1.870712	1.652650	1.689650	1.810848
1	1.793863	1.740988	1.624653	1.867969	2.132675
1	-0.575571	-0.916337	-0.545400	-1.181372	-1.127219
1	0.951446	0.890300	0.958109	0.923518	1.059155
1	0.728415	0.728860	0.704058	0.860285	0.972289
-1	1.300907	1.033151	1.112056	0.879068	0.839772
1	1.668598	1.308395	1.437057	1.376493	1.517737
1	0.845367	0.776426	0.948682	1.294209	1.464162
-1	0.934982	1.213046	0.985997	0.911693	0.765904
-1	0.612696	0.769143	0.480079	0.806222	0.819573
-1	1.495614	1.793648	1.321758	1.071398	0.970973
1	1.163209	0.904236	1.119820	1.272914	1.319004
1	1.207912	1.251705	1.255784	1.575765	1.776114
1	1.609214	1.348835	1.403454	1.272287	1.361157
1	1.579792	1.420392	1.417115	1.408872	1.475722
-1	1.705901	1.918724	1.516702	1.405927	1.316950
1	1.169494	1.303468	1.153590	1.270677	1.359122
