g	pw80_20	pw80_08	pw82_08	pw84_08	pw88_08
-1.496	-0.881	-0.907	-0.826	-0.773	-0.735
-1.706	-1.063	-1.094	-0.948	-0.954	-1.111
-1.611	-1.626	-1.698	-1.694	-1.643	-1.605
-1.009	-0.734	-0.633	-0.543	-0.623	-0.663
-1.173	-0.732	-0.427	-0.286	-0.246	-0.397
-1.318	-0.972	-0.926	-0.931	-0.957	-1.030
-1.070	-0.867	-0.480	-0.571	-0.614	-0.848
-1.607	-1.375	-1.404	-1.432	-1.372	-1.271
-1.688	-1.463	-0.976	-0.930	-0.964	-1.030
-1.763	-1.414	-2.208	-1.401	-1.111	-0.966
-1.381	-1.295	-1.251	-1.115	-1.164	-1.048
-1.121	-0.980	-0.830	-0.907	-0.991	-1.123
-1.702	-2.157	-2.157	-1.826	-1.716	-1.089
-0.765	-0.246	-0.069	-0.112	-0.377	-0.433
-1.510	-0.886	-0.795	-0.798	-0.957	-1.093
-1.877	-1.376	-1.409	-1.289	-1.216	-1.233
-1.637	-1.047	-1.052	-0.979	-0.969	-1.104
-1.102	-0.421	-0.475	-0.416	-0.429	-0.553
-1.431	-1.011	-0.887	-0.866	-0.869	-1.020
-1.780	-1.630	-1.264	-1.421	-1.331	-1.210
-1.631	-0.954	-0.958	-0.980	-1.011	-1.048
-1.302	-0.840	-1.002	-0.959	-0.980	-1.489
-1.738	-1.375	-1.255	-1.154	-1.090	-1.072
-1.123	-0.577	-0.469	-0.526	-0.607	-0.740
-1.211	-0.898	-0.962	-0.881	-0.923	-0.961
-1.296	-1.015	-1.013	-0.979	-0.954	-0.945
-1.017	-0.372	-0.515	-0.562	-0.645	-0.729
-1.343	-1.213	-1.103	-1.165	-1.194	-1.379
-1.126	-1.109	-1.459	-1.159	-0.991	-0.482
-1.127	-1.387	-1.259	-1.407	-1.364	-0.913
-1.319	-0.952	-1.439	-1.237	-1.087	-0.887
-0.223	-0.561	-1.005	-0.866	-0.408	0.586
-1.435	-1.172	-1.307	-1.261	-1.135	-0.998
-1.652	-1.368	-1.557	-1.268	-1.231	-1.212
-1.622	-1.271	-1.670	-1.469	-1.238	-1.012
-1.983	-1.288	-1.705	-1.568	-1.322	-1.260
-1.156	-1.094	-1.016	-0.935	-0.955	-0.932
-1.333	-1.854	-1.780	-1.462	-1.152	-1.200
-1.422	-1.020	-1.067	-1.049	-1.074	-1.182
-1.640	-1.313	-1.132	-1.183	-1.075	-1.076
-1.150	-1.208	-1.592	-1.215	-1.345	-1.070
-1.464	-0.848	-0.788	-0.924	-0.987	-0.970
-1.404	-0.923	-1.317	-1.262	-1.235	-1.197
-1.121	-0.930	-0.887	-0.831	-0.900	-1.020
-1.525	-1.591	-1.382	-0.992	-1.061	-1.030
-1.204	-1.121	-1.388	-1.055	-0.977	-1.049
-1.493	-0.935	-0.769	-0.737	-0.810	-0.863
-1.839	-1.443	-1.544	-1.738	-1.447	-1.203
-1.389	-1.240	-1.191	-1.127	-1.170	-1.099
-2.207	-1.405	-1.714	-1.625	-1.568	-1.821
-1.331	-0.884	-0.925	-0.907	-0.970	-1.063
-1.754	-1.266	-1.274	-1.089	-1.067	-1.141
-1.069	-1.132	-1.026	-0.979	-1.008	-1.109
-1.109	-0.492	-0.388	-0.396	-0.476	-0.607
-1.450	-0.905	-1.174	-1.285	-1.186	-1.218
-0.669	-0.514	-0.553	-0.504	-0.637	-0.672
-1.676	-1.034	-1.078	-1.016	-1.015	-1.115
-1.433	-1.389	-1.220	-1.198	-1.299	-1.404
-1.390	-1.091	-1.118	-0.979	-0.968	-1.144
-1.086	-0.342	-0.270	-0.378	-0.396	-0.488
-0.254	-0.704	-0.117	-0.129	-0.294	-0.176
0.059	-0.968	-1.216	-0.782	-0.601	1.900
-1.609	-1.544	-1.545	-1.415	-1.322	-1.365
-1.362	-1.056	-1.138	-0.898	-0.846	-0.844
-1.189	-1.115	-1.487	-1.257	-1.264	-1.218
-1.281	-1.308	-1.358	-1.195	-1.196	-1.271
-1.538	-1.211	-0.984	-0.955	-0.995	-1.097
-1.116	-1.267	-1.122	-1.179	-1.248	-0.938
-1.088	-0.684	-0.717	-0.513	-0.463	-0.350
-1.235	-1.021	-1.458	-1.114	-1.047	-1.006
0.282	0.519	0.051	-0.029	-0.128	-0.169
-1.676	-1.228	-1.328	-1.171	-1.211	-1.204
