g_val	t_val	c_val	l_val	s_val
1.4346	1.5305	1.2555	1.0866	1.0005
1.6521	1.9039	1.4499	1.3073	1.2916
1.6220	1.7696	1.3869	1.1910	1.1362
1.9830	2.0748	1.6970	1.4165	1.3585
1.1555	1.3795	1.0257	0.9828	0.8247
1.3332	1.4980	1.3263	1.5294	1.3950
1.4221	1.5220	1.2975	1.1078	1.0118
1.6395	1.8102	1.4399	1.1112	0.9351
1.1503	1.3199	0.9984	1.2482	1.0449
1.4643	1.9128	1.2747	1.1755	1.1061
1.4042	1.5468	1.2879	1.2422	1.2164
1.1214	1.3388	1.0946	0.8713	0.7693
1.5255	1.6381	1.2813	1.1503	1.0454
1.2040	1.4941	1.2429	1.2043	1.0408
1.4929	1.7428	1.2387	1.0375	0.9159
1.8392	1.8777	1.5364	1.0561	0.9376
1.3894	1.8928	1.3846	1.2865	1.1014
2.2069	2.4123	1.8964	1.0581	0.8638
1.3309	1.5293	1.1864	1.0582	0.9724
1.7538	1.9544	1.5526	1.0549	0.9119
1.0686	1.3262	0.9857	1.0811	1.0032
1.1092	1.5152	1.0117	0.9864	0.8177
1.4500	1.6887	1.2065	1.2243	1.0630
0.6688	0.6969	0.4618	0.7393	0.6344
1.6764	1.9052	1.5207	1.1695	1.0333
1.4333	1.8976	1.4403	1.2040	1.0903
1.3899	1.6329	1.4017	1.2872	1.1554
1.0856	1.2826	0.9738	0.8468	0.6948
0.2539	0.4988	0.2412	0.7212	0.5522
-0.0593	0.2646	0.1558	0.8104	0.6999
1.6092	1.8956	1.4878	1.2680	1.1191
1.3619	1.5529	1.1733	1.1755	1.0312
1.1890	1.3836	1.0785	1.2034	1.1131
1.2812	1.4281	1.3076	1.1913	1.0989
1.5378	1.8700	1.4268	1.0577	0.8797
1.1160	0.9624	1.0915	1.1123	1.0657
1.0876	1.2488	0.9750	0.8136	0.6307
1.2352	1.4749	1.1472	1.0722	0.9783
-0.2818	-0.3588	-0.3457	-0.3538	-0.5058
1.6764	1.8027	1.4546	1.3135	1.1779
1.6578	1.6136	1.4522	1.1856	1.0476
1.1217	1.2880	1.0561	0.9703	0.8798
-1.2704	-1.2514	-1.2081	-1.4257	-1.5572
0.8134	1.0166	0.7756	0.9844	0.8770
1.3472	1.5486	1.1915	0.7868	0.6933
1.8499	2.0290	1.5977	1.2516	1.1391
1.6849	1.8121	1.4116	1.1985	1.0902
1.5184	1.6830	1.3563	0.9999	0.9290
0.3176	0.5253	0.2929	-0.8416	-1.2999
1.6078	1.7851	1.3730	1.1530	1.0846
1.6361	1.7474	1.3241	1.0618	0.9290
1.3886	1.6965	1.3466	1.0325	0.9167
1.8513	2.0504	1.6715	1.4046	1.3021
1.4819	1.6098	1.3781	1.1542	1.0591
1.0057	1.1671	0.9343	0.9699	0.8810
1.1494	1.3667	1.0850	1.1247	1.0128
1.2942	1.6274	1.1708	1.0044	0.9143
1.4349	1.6836	1.2792	1.0904	0.9858
1.7724	1.9764	1.4587	1.1322	0.9179
1.5198	1.7913	1.3679	1.1617	1.0368
1.6415	1.8007	1.4564	1.2172	1.0804
1.7231	1.8669	1.4708	1.1096	0.9453
1.1432	1.2824	1.0761	1.0983	1.0617
1.1226	1.3824	1.1112	1.4019	1.3011
0.9926	1.2543	0.8447	0.9181	0.9245
1.5361	1.8059	1.3261	1.1321	0.9995
1.4106	1.6016	1.2152	1.0830	0.9338
0.5703	0.7114	0.6229	0.9740	0.8652
1.7130	1.9511	1.5486	1.1513	0.9067
-0.8367	-0.7860	-0.8770	-1.1344	-1.3866
0.6908	0.9990	0.6885	0.9118	0.9144
0.9156	1.2813	0.8676	1.0085	0.9682
-0.3629	0.1819	-0.4229	1.1071	1.0342
0.6404	0.9002	0.5984	0.5570	0.4171
1.3438	1.3242	1.1229	1.0340	0.9366
1.3530	1.4628	1.1998	1.0621	0.9618
1.4603	1.6885	1.2988	1.2242	1.1714
1.0008	1.3605	0.9160	0.7407	0.5973
1.2495	1.4243	1.0592	1.1090	0.9733
1.7827	1.9752	1.5043	1.0373	0.9698
1.8534	1.9931	1.5633	1.1968	1.0776
2.0082	2.2783	1.7571	1.2504	1.1923
2.0850	2.4181	1.8869	1.4020	1.3680
1.5746	2.0079	1.5123	1.3022	1.2220
1.4430	1.6986	1.2945	1.2011	1.1051
1.0644	1.2113	0.9176	1.0819	0.9938
1.2595	1.2773	1.1436	0.9791	0.9110
0.7768	0.9526	0.6573	0.6784	0.6464
1.4769	1.5730	1.2633	1.0742	0.9976
1.3162	1.5708	1.1770	1.1619	1.0679
