Line	B-idx	Beta	It-idx	Energy	Acceptance~
513	5	3328.951084	13	-0.187727	0.13
514	5	3328.951084	14	-0.188737	0.14
515	5	3328.951084	15	-0.189496	0.15
516	5	3328.951084	16	-0.189496	0.16
517	5	3328.951084	17	-0.189496	0.17
518	5	3328.951084	18	-0.190225	0.18
519	5	3328.951084	19	-0.191199	0.19
520	5	3328.951084	20	-0.192445	0.2
521	5	3328.951084	21	-0.193436	0.21
522	5	3328.951084	22	-0.193436	0.22
523	5	3328.951084	23	-0.193475	0.23
524	5	3328.951084	24	-0.193475	0.24
525	5	3328.951084	25	-0.193475	0.25
526	5	3328.951084	26	-0.194448	0.26
527	5	3328.951084	27	-0.195175	0.27
528	5	3328.951084	28	-0.195413	0.28
529	5	3328.951084	29	-0.195694	0.29
530	5	3328.951084	30	-0.195694	0.3
531	5	3328.951084	31	-0.195694	0.31
532	5	3328.951084	32	-0.196500	0.32
533	5	3328.951084	33	-0.196947	0.33
534	5	3328.951084	34	-0.196947	0.34
535	5	3328.951084	35	-0.196947	0.35
536	5	3328.951084	36	-0.196947	0.36
537	5	3328.951084	37	-0.197764	0.37
538	5	3328.951084	38	-0.197763	0.38
539	5	3328.951084	39	-0.198495	0.39
540	5	3328.951084	40	-0.199728	0.4
541	5	3328.951084	41	-0.199728	0.41
542	5	3328.951084	42	-0.199727	0.42
543	5	3328.951084	43	-0.199727	0.43
544	5	3328.951084	44	-0.199727	0.44
545	5	3328.951084	45	-0.199728	0.45
546	5	3328.951084	46	-0.199727	0.46
547	5	3328.951084	47	-0.199739	0.47
548	5	3328.951084	48	-0.200294	0.48
549	5	3328.951084	49	-0.200753	0.49
550	5	3328.951084	50	-0.200752	0.5
551	5	3328.951084	51	-0.200752	0.51
552	5	3328.951084	52	-0.201615	0.52
553	5	3328.951084	53	-0.201773	0.53
554	5	3328.951084	54	-0.202654	0.54
555	5	3328.951084	55	-0.202869	0.55
556	5	3328.951084	56	-0.203070	0.56
557	5	3328.951084	57	-0.203625	0.57
558	5	3328.951084	58	-0.203625	0.58
559	5	3328.951084	59	-0.203926	0.59
560	5	3328.951084	60	-0.205153	0.6
561	5	3328.951084	61	-0.205153	0.61
562	5	3328.951084	62	-0.205153	0.62
563	5	3328.951084	63	-0.205153	0.63
564	5	3328.951084	64	-0.205922	0.64
565	5	3328.951084	65	-0.206576	0.65
566	5	3328.951084	66	-0.206576	0.66
567	5	3328.951084	67	-0.206577	0.67
568	5	3328.951084	68	-0.206992	0.68
569	5	3328.951084	69	-0.207782	0.69
570	5	3328.951084	70	-0.207814	0.7
571	5	3328.951084	71	-0.207814	0.71
572	5	3328.951084	72	-0.207813	0.72
573	5	3328.951084	73	-0.207813	0.73
574	5	3328.951084	74	-0.209016	0.74
575	5	3328.951084	75	-0.209316	0.75
576	5	3328.951084	76	-0.209316	0.76
577	5	3328.951084	77	-0.209316	0.77
578	5	3328.951084	78	-0.209316	0.78
579	5	3328.951084	79	-0.209316	0.79
580	5	3328.951084	80	-0.209316	0.8
581	5	3328.951084	81	-0.209436	0.81
582	5	3328.951084	82	-0.210237	0.82
583	5	3328.951084	83	-0.210237	0.83
584	5	3328.951084	84	-0.210338	0.84
585	5	3328.951084	85	-0.210338	0.85
586	5	3328.951084	86	-0.210338	0.86
587	5	3328.951084	87	-0.211427	0.87
588	5	3328.951084	88	-0.211427	0.88
589	5	3328.951084	89	-0.211426	0.89
590	5	3328.951084	90	-0.211426	0.9
591	5	3328.951084	91	-0.212326	0.91
592	5	3328.951084	92	-0.212326	0.92
593	5	3328.951084	93	-0.212326	0.93
594	5	3328.951084	94	-0.213199	0.94
595	5	3328.951084	95	-0.213199	0.95
596	5	3328.951084	96	-0.213199	0.96
597	5	3328.951084	97	-0.213199	0.97
598	5	3328.951084	98	-0.213199	0.98
599	5	3328.951084	99	-0.213199	0.99
600	6	3661.846192	0	-0.213199	0.01
601	6	3661.846192	1	-0.213254	0.02
602	6	3661.846192	2	-0.213254	0.03
603	6	3661.846192	3	-0.213254	0.04
604	6	3661.846192	4	-0.213254	0.05
605	6	3661.846192	5	-0.213254	0.06
606	6	3661.846192	6	-0.214305	0.07
607	6	3661.846192	7	-0.214306	0.08
608	6	3661.846192	8	-0.215416	0.09
609	6	3661.846192	9	-0.215416	0.1
610	6	3661.846192	10	-0.215416	0.11
611	6	3661.846192	11	-0.216197	0.12
612	6	3661.846192	12	-0.216666	0.13
613	6	3661.846192	13	-0.216943	0.14
614	6	3661.846192	14	-0.216943	0.15
615	6	3661.846192	15	-0.217273	0.16
616	6	3661.846192	16	-0.218188	0.17
617	6	3661.846192	17	-0.219318	0.18
618	6	3661.846192	18	-0.219606	0.19
619	6	3661.846192	19	-0.220815	0.2
620	6	3661.846192	20	-0.220906	0.21
621	6	3661.846192	21	-0.222145	0.22
622	6	3661.846192	22	-0.222145	0.23
623	6	3661.846192	23	-0.223217	0.24
624	6	3661.846192	24	-0.223217	0.25
625	6	3661.846192	25	-0.223217	0.26
626	6	3661.846192	26	-0.223216	0.27
627	6	3661.846192	27	-0.223216	0.28
628	6	3661.846192	28	-0.224436	0.29
629	6	3661.846192	29	-0.224436	0.3
630	6	3661.846192	30	-0.224436	0.31
631	6	3661.846192	31	-0.224436	0.32
