epoch	loss
281	5.636201463584548e-02
282	5.636037322621362e-02
283	5.635875649215583e-02
284	5.635716404684541e-02
285	5.635559550983573e-02
286	5.635405050694829e-02
287	5.635252867016319e-02
288	5.635102963751155e-02
289	5.634955305296982e-02
290	5.634809856635633e-02
291	5.634666583322959e-02
292	5.634525451478840e-02
293	5.634386427777390e-02
294	5.634249479437378e-02
295	5.634114574212741e-02
296	5.633981680383365e-02
297	5.633850766745988e-02
298	5.633721802605278e-02
299	5.633594757765058e-02
300	5.633469602519744e-02
301	5.633346307645890e-02
302	5.633224844393896e-02
303	5.633105184479903e-02
304	5.632987300077778e-02
305	5.632871163811318e-02
306	5.632756748746516e-02
307	5.632644028384039e-02
308	5.632532976651799e-02
309	5.632423567897668e-02
310	5.632315776882349e-02
311	5.632209578772340e-02
312	5.632104949133040e-02
313	5.632001863922006e-02
314	5.631900299482268e-02
315	5.631800232535855e-02
316	5.631701640177344e-02
317	5.631604499867593e-02
318	5.631508789427554e-02
319	5.631414487032199e-02
320	5.631321571204580e-02
321	5.631230020809957e-02
322	5.631139815050049e-02
323	5.631050933457419e-02
324	5.630963355889888e-02
325	5.630877062525118e-02
326	5.630792033855258e-02
327	5.630708250681674e-02
328	5.630625694109813e-02
329	5.630544345544117e-02
330	5.630464186683053e-02
331	5.630385199514209e-02
332	5.630307366309503e-02
333	5.630230669620465e-02
334	5.630155092273580e-02
335	5.630080617365742e-02
336	5.630007228259799e-02
337	5.629934908580124e-02
338	5.629863642208317e-02
339	5.629793413278946e-02
340	5.629724206175396e-02
341	5.629656005525747e-02
342	5.629588796198774e-02
343	5.629522563299979e-02
344	5.629457292167692e-02
345	5.629392968369282e-02
346	5.629329577697377e-02
347	5.629267106166191e-02
348	5.629205540007889e-02
349	5.629144865669041e-02
350	5.629085069807111e-02
351	5.629026139287022e-02
352	5.628968061177773e-02
353	5.628910822749125e-02
354	5.628854411468322e-02
355	5.628798814996900e-02
356	5.628744021187521e-02
357	5.628690018080883e-02
358	5.628636793902664e-02
359	5.628584337060540e-02
360	5.628532636141227e-02
361	5.628481679907600e-02
362	5.628431457295852e-02
363	5.628381957412684e-02
364	5.628333169532571e-02
365	5.628285083095060e-02
366	5.628237687702108e-02
367	5.628190973115478e-02
368	5.628144929254178e-02
369	5.628099546191919e-02
370	5.628054814154662e-02
371	5.628010723518167e-02
372	5.627967264805586e-02
373	5.627924428685128e-02
374	5.627882205967723e-02
375	5.627840587604770e-02
376	5.627799564685858e-02
377	5.627759128436603e-02
378	5.627719270216467e-02
379	5.627679981516622e-02
380	5.627641253957869e-02
381	5.627603079288575e-02
382	5.627565449382646e-02
383	5.627528356237550e-02
384	5.627491791972335e-02
385	5.627455748825738e-02
386	5.627420219154260e-02
387	5.627385195430329e-02
388	5.627350670240466e-02
389	5.627316636283458e-02
390	5.627283086368640e-02
391	5.627250013414104e-02
392	5.627217410445012e-02
393	5.627185270591912e-02
394	5.627153587089081e-02
395	5.627122353272886e-02
396	5.627091562580197e-02
397	5.627061208546799e-02
398	5.627031284805850e-02
399	5.627001785086359e-02
400	5.626972703211678e-02
401	5.626944033098036e-02
402	5.626915768753079e-02
403	5.626887904274455e-02
404	5.626860433848406e-02
405	5.626833351748373e-02
406	5.626806652333674e-02
407	5.626780330048128e-02
408	5.626754379418758e-02
409	5.626728795054506e-02
410	5.626703571644952e-02
411	5.626678703959068e-02
412	5.626654186843971e-02
413	5.626630015223735e-02
414	5.626606184098186e-02
415	5.626582688541746e-02
416	5.626559523702243e-02
417	5.626536684799823e-02
418	5.626514167125797e-02
419	5.626491966041571e-02
420	5.626470076977537e-02
421	5.626448495432040e-02
422	5.626427216970308e-02
423	5.626406237223430e-02
424	5.626385551887352e-02
425	5.626365156721874e-02
426	5.626345047549661e-02
427	5.626325220255290e-02
428	5.626305670784300e-02
429	5.626286395142253e-02
430	5.626267389393814e-02
431	5.626248649661855e-02
432	5.626230172126551e-02
433	5.626211953024513e-02
434	5.626193988647935e-02
435	5.626176275343717e-02
436	5.626158809512662e-02
437	5.626141587608641e-02
438	5.626124606137773e-02
439	5.626107861657652e-02
440	5.626091350776546e-02
441	5.626075070152635e-02
442	5.626059016493246e-02
443	5.626043186554118e-02
444	5.626027577138647e-02
445	5.626012185097188e-02
446	5.625997007326323e-02
447	5.625982040768167e-02
448	5.625967282409687e-02
449	5.625952729282005e-02
450	5.625938378459749e-02
451	5.625924227060385e-02
452	5.625910272243566e-02
453	5.625896511210504e-02
454	5.625882941203343e-02
455	5.625869559504540e-02
456	5.625856363436243e-02
457	5.625843350359718e-02
458	5.625830517674744e-02
459	5.625817862819033e-02
460	5.625805383267668e-02
461	5.625793076532538e-02
462	5.625780940161777e-02
463	5.625768971739237e-02
464	5.625757168883931e-02
465	5.625745529249527e-02
466	5.625734050523812e-02
467	5.625722730428190e-02
468	5.625711566717171e-02
469	5.625700557177889e-02
470	5.625689699629587e-02
471	5.625678991923181e-02
472	5.625668431940745e-02
473	5.625658017595060e-02
474	5.625647746829172e-02
475	5.625637617615909e-02
476	5.625627627957468e-02
477	5.625617775884952e-02
478	5.625608059457958e-02
479	5.625598476764153e-02
480	5.625589025918831e-02
481	5.625579705064537e-02
482	5.625570512370631e-02
483	5.625561446032926e-02
484	5.625552504273248e-02
485	5.625543685339093e-02
486	5.625534987503223e-02
487	5.625526409063289e-02
488	5.625517948341489e-02
489	5.625509603684171e-02
490	5.625501373461490e-02
491	5.625493256067059e-02
492	5.625485249917606e-02
493	5.625477353452620e-02
494	5.625469565134016e-02
495	5.625461883445809e-02
496	5.625454306893793e-02
497	5.625446834005215e-02
498	5.625439463328441e-02
499	5.625432193432680e-02
500	5.625425022907641e-02
501	5.625417950363269e-02
502	5.625410974429402e-02
503	5.625404093755520e-02
504	5.625397307010430e-02
505	5.625390612881997e-02
506	5.625384010076852e-02
507	5.625377497320124e-02
508	5.625371073355163e-02
509	5.625364736943288e-02
510	5.625358486863494e-02
511	5.625352321912226e-02
512	5.625346240903100e-02
513	5.625340242666665e-02
514	5.625334326050144e-02
515	5.625328489917194e-02
516	5.625322733147679e-02
517	5.625317054637410e-02
518	5.625311453297924e-02
519	5.625305928056262e-02
520	5.625300477854728e-02
521	5.625295101650675e-02
522	5.625289798416280e-02
523	5.625284567138338e-02
524	5.625279406818032e-02
525	5.625274316470737e-02
526	5.625269295125820e-02
527	5.625264341826409e-02
528	5.625259455629222e-02
529	5.625254635604356e-02
530	5.625249880835088e-02
531	5.625245190417692e-02
532	5.625240563461244e-02
533	5.625235999087450e-02
534	5.625231496430447e-02
535	5.625227054636621e-02
536	5.625222672864442e-02
537	5.625218350284285e-02
538	5.625214086078251e-02
539	5.625209879440009e-02
540	5.625205729574610e-02
541	5.625201635698341e-02
542	5.625197597038560e-02
543	5.625193612833519e-02
544	5.625189682332224e-02
545	5.625185804794280e-02
546	5.625181979489723e-02
547	5.625178205698877e-02
548	5.625174482712220e-02
549	5.625170809830214e-02
550	5.625167186363170e-02
551	5.625163611631114e-02
552	5.625160084963637e-02
553	5.625156605699762e-02
554	5.625153173187804e-02
555	5.625149786785244e-02
556	5.625146445858593e-02
557	5.625143149783249e-02
558	5.625139897943398e-02
559	5.625136689731856e-02
560	5.625133524549979e-02
561	5.625130401807506e-02
562	5.625127320922459e-02
563	5.625124281321020e-02
564	5.625121282437413e-02
565	5.625118323713792e-02
566	5.625115404600126e-02
567	5.625112524554075e-02
568	5.625109683040899e-02
569	5.625106879533337e-02
570	5.625104113511512e-02
571	5.625101384462804e-02
572	5.625098691881768e-02
573	5.625096035270016e-02
574	5.625093414136131e-02
575	5.625090827995551e-02
576	5.625088276370482e-02
577	5.625085758789798e-02
578	5.625083274788955e-02
579	5.625080823909871e-02
580	5.625078405700864e-02
581	5.625076019716545e-02
582	5.625073665517732e-02
583	5.625071342671359e-02
584	5.625069050750391e-02
585	5.625066789333739e-02
586	5.625064558006174e-02
587	5.625062356358247e-02
588	5.625060183986192e-02
589	5.625058040491873e-02
590	5.625055925482675e-02
591	5.625053838571450e-02
592	5.625051779376419e-02
593	5.625049747521103e-02
594	5.625047742634261e-02
595	5.625045764349790e-02
596	5.625043812306676e-02
597	5.625041886148908e-02
598	5.625039985525414e-02
599	5.625038110089978e-02
600	5.625036259501194e-02
601	5.625034433422383e-02
602	5.625032631521527e-02
603	5.625030853471194e-02
604	5.625029098948496e-02
605	5.625027367635015e-02
606	5.625025659216727e-02
607	5.625023973383945e-02
608	5.625022309831286e-02
609	5.625020668257562e-02
610	5.625019048365761e-02
611	5.625017449862962e-02
612	5.625015872460296e-02
613	5.625014315872880e-02
614	5.625012779819760e-02
615	5.625011264023858e-02
616	5.625009768211907e-02
617	5.625008292114422e-02
618	5.625006835465628e-02
619	5.625005398003406e-02
620	5.625003979469247e-02
621	5.625002579608208e-02
622	5.625001198168848e-02
623	5.624999834903197e-02
624	5.624998489566679e-02
625	5.624997161918092e-02
626	5.624995851719545e-02
627	5.624994558736429e-02
628	5.624993282737343e-02
629	5.624992023494071e-02
630	5.624990780781530e-02
631	5.624989554377732e-02
632	5.624988344063724e-02
633	5.624987149623558e-02
634	5.624985970844266e-02
635	5.624984807515784e-02
636	5.624983659430927e-02
637	5.624982526385346e-02
638	5.624981408177509e-02
639	5.624980304608626e-02
640	5.624979215482638e-02
641	5.624978140606162e-02
642	5.624977079788471e-02
643	5.624976032841441e-02
644	5.624974999579514e-02
645	5.624973979819681e-02
646	5.624972973381429e-02
647	5.624971980086709e-02
648	5.624970999759908e-02
649	5.624970032227805e-02
